code,name,market
00400A,主動國泰動能高息,上市
00401A,主動摩根台灣鑫收,上市
0050,元大台灣50,上市
0051,元大中型100,上市
0052,富邦科技,上市
0053,元大電子,上市
0055,元大MSCI金融,上市
0056,元大高股息,上市
0057,富邦摩台,上市
0061,元大寶滬深,上市
006201,元大富櫃50,上櫃
006203,元大MSCI台灣,上市
006204,永豐臺灣加權,上市
006205,富邦上証,上市
006206,元大上證50,上市
006207,復華滬深,上市
006208,富邦台50,上市
00625K,富邦上証+R,上市
00631L,元大台灣50正2,上市
00632R,元大台灣50反1,上市
00633L,富邦上証正2,上市
00634R,富邦上証反1,上市
00635U,期元大S&P黃金,上市
00636,國泰中國A50,上市
00636K,國泰中國A50+U,上市
00637L,元大滬深300正2,上市
00638R,元大滬深300反1,上市
00639,富邦深100,上市
00640L,富邦日本正2,上市
00641R,富邦日本反1,上市
00642U,期元大S&P石油,上市
00643,群益深証中小,上市
00643K,群益深証中小+R,上市
00645,富邦日本,上市
00646,元大S&P500,上市
00647L,元大S&P500正2,上市
00648R,元大S&P500反1,上市
00650L,復華香港正2,上市
00651R,復華香港反1,上市
00652,富邦印度,上市
00653L,富邦印度正2,上市
00654R,富邦印度反1,上市
00655L,國泰中國A50正2,上市
00656R,國泰中國A50反1,上市
00657,國泰日經225,上市
00657K,國泰日經225+U,上市
00660,元大歐洲50,上市
00661,元大日經225,上市
00662,富邦NASDAQ,上市
00663L,國泰臺灣加權正2,上市
00664R,國泰臺灣加權反1,上市
00665L,富邦恒生國企正2,上市
00666R,富邦恒生國企反1,上市
00668,國泰美國道瓊,上市
00668K,國泰美國道瓊+U,上市
00669R,國泰美國道瓊反1,上市
00670L,富邦NASDAQ正2,上市
00671R,富邦NASDAQ反1,上市
00673R,期元大S&P原油反1,上市
00674R,期元大S&P黃金反1,上市
00675L,富邦臺灣加權正2,上市
00676R,富邦臺灣加權反1,上市
00678,群益那斯達克生技,上市
00679B,元大美債20年,上櫃
00680L,元大美債20正2,上市
00681R,元大美債20反1,上市
00682U,期元大美元指數,上市
00683L,期元大美元指正2,上市
00684R,期元大美元指反1,上市
00685L,群益臺灣加權正2,上市
00686R,群益臺灣加權反1,上市
00687B,國泰20年美債,上櫃
00687C,國泰20年美債+櫃U,上櫃
00688L,國泰20年美債正2,上市
00689R,國泰20年美債反1,上市
00690,兆豐藍籌30,上市
00692,富邦公司治理,上市
00693U,期街口S&P黃豆,上市
00694B,富邦美債1-3年,上櫃
00695B,富邦美債7-10年,上櫃
00696B,富邦美債20年,上櫃
00697B,元大美債7-10,上櫃
00700,富邦恒生國企,上市
00701,國泰股利精選30,上市
00702,國泰標普低波高息,上市
00703,台新MSCI中國,上市
00706L,期元大S&P日圓正2,上市
00707R,期元大S&P日圓反1,上市
00708L,期元大S&P黃金正2,上市
00709,富邦歐洲,上市
00710B,復華彭博非投等債,上市
00711B,復華彭博新興債,上市
00712,復華富時不動產,上市
00713,元大台灣高息低波,上市
00714,群益道瓊美國地產,上市
00715L,期街口S&P布蘭特油正2,上市
00717,富邦美國特別股,上市
00719B,元大美債1-3,上櫃
00720B,元大投資級公司債,上櫃
00722B,群益投資級電信債,上櫃
00723B,群益投資級科技債,上櫃
00724B,群益投資級金融債,上櫃
00725B,國泰投資級公司債,上櫃
00726B,國泰新興投等債,上櫃
00727B,國泰優選非投等債,上櫃
00728,第一金工業30,上市
00730,富邦臺灣優質高息,上市
00731,復華富時高息低波,上市
00733,富邦臺灣中小,上市
00734B,台新JPM新興債,上櫃
00735,國泰臺韓科技,上市
00736,國泰新興市場,上市
00737,國泰AI機器人,上市
00738U,期元大道瓊白銀,上市
00739,元大MSCI A股,上市
00740B,富邦全球投等債,上櫃
00741B,富邦全球非投等債,上櫃
00746B,富邦A級公司債,上櫃
00749B,凱基新興債10+,上櫃
00750B,凱基科技債10+,上櫃
00751B,元大AAA至A公司債,上櫃
00752,中信中國50,上市
00753L,中信中國50正2,上市
00754B,群益AAA-AA公司債,上櫃
00755B,群益投資級公用債,上櫃
00756B,群益投等新興公債,上櫃
00757,統一FANG+,上市
00758B,復華能源債,上櫃
00759B,復華製藥債,上櫃
00760B,復華新興企業債,上櫃
00761B,國泰A級公司債,上櫃
00762,元大全球AI,上市
00763U,期街口道瓊銅,上市
00764B,群益25年美債,上櫃
00768B,復華20年美債,上櫃
00770,國泰北美科技,上市
00771,元大US高息特別股,上市
00772B,中信高評級公司債,上櫃
00773B,中信優先金融債,上櫃
00775B,新光投等債15+,上市
00777B,凱基AAA至A公司債,上櫃
00778B,凱基金融債20+,上櫃
00779B,凱基美債25+,上櫃
00780B,國泰A級金融債,上櫃
00781B,國泰A級科技債,上櫃
00782B,國泰A級公用債,上櫃
00783,富邦中証500,上市
00785B,富邦金融投等債,上櫃
00786B,元大10年IG銀行債,上櫃
00787B,元大10年IG醫療債,上櫃
00788B,元大10年IG電能債,上櫃
00789B,復華公司債A3,上櫃
00791B,復華信用債1-5,上櫃
00792B,群益A級公司債,上櫃
00793B,群益AAA-A醫療債,上櫃
00795B,中信美國公債20年,上櫃
00799B,國泰A級醫療債,上櫃
00830,國泰費城半導體,上市
00834B,第一金金融債10+,上櫃
00836B,永豐10年A公司債,上櫃
00838B,永豐7-10年中國債,上櫃
00840B,凱基IG精選15+,上櫃
00841B,凱基AAA-AA公司債,上櫃
00842B,台新美元銀行債,上櫃
00844B,新光15年IG金融債,上櫃
00845B,富邦新興投等債,上櫃
00846B,富邦歐洲銀行債,上櫃
00847B,中信美國市政債,上櫃
00848B,中信新興亞洲債,上櫃
00849B,中信EM主權債0-5,上櫃
00850,元大臺灣ESG永續,上市
00851,台新全球AI,上市
00852L,國泰美國道瓊正2,上市
00853B,統一美債10年Aa-A,上櫃
00856B,永豐1-3年美公債,上櫃
00857B,永豐20年美公債,上櫃
